generation,time_elapsed,population,mean_fitness,best_fitness,best_sample
10,314.0983142852783,223,-16.967055306427504,3.986666666666667,"([-6.561004359542348, -31.96898468746854, 4.857610855971031, 9.71514682184176, 8.16830029710168, -7.137452410301662, 14.436180023403692, -6.0689046289474184, 15.090066965497492, 1.7396401136596766, -0.24720545896655666, -15.31398817655136, 9.318709048107921, -7.00214803505175, 6.105464684923019, 18.488942757882892, 16.950053880896387, 2.2459589436293648, 2.0819837461461987, 6.08971243075485, 11.722378783300941], ['Ogre Magi', 'Ogre Magi', 'Ogre Magi', 'Ogre Magi', 'Ironfur Grizzly', 'Ironfur Grizzly', 'Abomination', 'Abomination', 'Charge', 'Charge', 'Angry Chicken', 'Angry Chicken', 'Knife Juggler', 'Knife Juggler', 'Upgrade!', 'Upgrade!', 'Chillwind Yeti', 'Chillwind Yeti', 'Dark Iron Dwarf', 'Dark Iron Dwarf', 'Arathi Weaponsmith', 'Arathi Weaponsmith', 'Stampeding Kodo', 'Stampeding Kodo', 'Stonetusk Boar', 'Stonetusk Boar', 'Abomination', 'Abomination', 'Shield Block', 'Shield Block'])"
11,305.7004396915436,241,-16.382627939142463,3.986666666666667,"([-6.561004359542348, -31.96898468746854, 4.857610855971031, 9.71514682184176, 8.16830029710168, -7.137452410301662, 14.436180023403692, -6.0689046289474184, 15.090066965497492, 1.7396401136596766, -0.24720545896655666, -15.31398817655136, 9.318709048107921, -7.00214803505175, 6.105464684923019, 18.488942757882892, 16.950053880896387, 2.2459589436293648, 2.0819837461461987, 6.08971243075485, 11.722378783300941], ['Ogre Magi', 'Ogre Magi', 'Ogre Magi', 'Ogre Magi', 'Ironfur Grizzly', 'Ironfur Grizzly', 'Abomination', 'Abomination', 'Charge', 'Charge', 'Angry Chicken', 'Angry Chicken', 'Knife Juggler', 'Knife Juggler', 'Upgrade!', 'Upgrade!', 'Chillwind Yeti', 'Chillwind Yeti', 'Dark Iron Dwarf', 'Dark Iron Dwarf', 'Arathi Weaponsmith', 'Arathi Weaponsmith', 'Stampeding Kodo', 'Stampeding Kodo', 'Stonetusk Boar', 'Stonetusk Boar', 'Elven Archer', 'Elven Archer', 'Arathi Weaponsmith', 'Arathi Weaponsmith'])"
12,330.58326482772827,260,-15.960153846153846,3.986666666666667,"([-6.561004359542348, -31.96898468746854, 4.857610855971031, 9.71514682184176, 8.16830029710168, -7.137452410301662, 14.436180023403692, -6.0689046289474184, 15.090066965497492, 1.7396401136596766, -0.24720545896655666, -15.31398817655136, 9.318709048107921, -7.00214803505175, 6.105464684923019, 18.488942757882892, 16.950053880896387, 2.2459589436293648, 2.0819837461461987, 6.08971243075485, 11.722378783300941], ['Ogre Magi', 'Ogre Magi', 'Ogre Magi', 'Ogre Magi', 'Ironfur Grizzly', 'Ironfur Grizzly', 'Abomination', 'Abomination', 'Charge', 'Charge', 'Angry Chicken', 'Angry Chicken', 'Knife Juggler', 'Knife Juggler', 'Upgrade!', 'Upgrade!', 'Chillwind Yeti', 'Chillwind Yeti', 'Dark Iron Dwarf', 'Dark Iron Dwarf', 'Ironforge Rifleman', 'Ironforge Rifleman', 'Stampeding Kodo', 'Stampeding Kodo', 'Stonetusk Boar', 'Stonetusk Boar', 'Elven Archer', 'Elven Archer', 'Arathi Weaponsmith', 'Arathi Weaponsmith'])"
13,328.59964895248413,279,-15.589008363201911,9.213333333333333,"([-23.570425963676517, -22.6284243054703, 8.528315253145324, 11.531143043583736, -10.77276230721861, 4.660670828277182, 9.301869012152975, 2.020435880294104, 4.978942363406438, -7.965704969331031, -10.366955075861306, 6.437134482921969, -9.566101758138423, -0.21942220173367166, 9.297318936095754, 3.6224285065142423, 7.014603032190957, 2.604554366060222, -17.102793477566607, -10.177220467398442, -12.93436220887664], ['Priestess of Elune', 'Priestess of Elune', ""Kor'kron Elite"", ""Kor'kron Elite"", ""Kor'kron Elite"", ""Kor'kron Elite"", 'Oasis Snapjaw', 'Oasis Snapjaw', 'Murloc Warleader', 'Murloc Warleader', ""Kor'kron Elite"", ""Kor'kron Elite"", 'Ironfur Grizzly', 'Ironfur Grizzly', 'Bloodfen Raptor', 'Bloodfen Raptor', 'Young Priestess', 'Young Priestess', ""Kor'kron Elite"", ""Kor'kron Elite"", 'Arcane Golem', 'Arcane Golem', 'Ironforge Rifleman', 'Ironforge Rifleman', 'Tauren Warrior', 'Tauren Warrior', 'Leper Gnome', 'Leper Gnome', 'Imp Master', 'Imp Master'])"
14,318.34162521362305,293,-15.560864618885097,9.213333333333333,"([-23.570425963676517, -22.6284243054703, 8.528315253145324, 11.531143043583736, -10.77276230721861, 4.660670828277182, 9.301869012152975, 2.020435880294104, 4.978942363406438, -7.965704969331031, -10.366955075861306, 6.437134482921969, -9.566101758138423, -0.21942220173367166, 9.297318936095754, 3.6224285065142423, 7.014603032190957, 2.604554366060222, -17.102793477566607, -10.177220467398442, -12.93436220887664], ['Priestess of Elune', 'Priestess of Elune', ""Kor'kron Elite"", ""Kor'kron Elite"", 'Arathi Weaponsmith', 'Arathi Weaponsmith', 'Oasis Snapjaw', 'Oasis Snapjaw', 'Earthen Ring Farseer', 'Earthen Ring Farseer', 'Arathi Weaponsmith', 'Arathi Weaponsmith', 'Ironfur Grizzly', 'Ironfur Grizzly', 'Bloodfen Raptor', 'Bloodfen Raptor', 'Spiteful Smith', 'Spiteful Smith', 'Silvermoon Guardian', 'Silvermoon Guardian', 'Arcane Golem', 'Arcane Golem', 'Ironforge Rifleman', 'Ironforge Rifleman', 'Tauren Warrior', 'Tauren Warrior', 'Emperor Cobra', 'Emperor Cobra', 'Imp Master', 'Imp Master'])"
15,308.28365683555603,309,-15.442157497303128,9.213333333333333,"([-23.570425963676517, -22.6284243054703, 8.528315253145324, 11.531143043583736, -10.77276230721861, 4.660670828277182, 9.301869012152975, 2.020435880294104, 4.978942363406438, -7.965704969331031, -10.366955075861306, 6.437134482921969, -9.566101758138423, -0.21942220173367166, 9.297318936095754, 3.6224285065142423, 7.014603032190957, 2.604554366060222, -17.102793477566607, -10.177220467398442, -12.93436220887664], ['Priestess of Elune', 'Priestess of Elune', ""Kor'kron Elite"", ""Kor'kron Elite"", 'Arathi Weaponsmith', 'Arathi Weaponsmith', 'Oasis Snapjaw', 'Oasis Snapjaw', 'Earthen Ring Farseer', 'Earthen Ring Farseer', 'Arathi Weaponsmith', 'Arathi Weaponsmith', 'Ironfur Grizzly', 'Ironfur Grizzly', 'Bloodfen Raptor', 'Bloodfen Raptor', 'Spiteful Smith', 'Spiteful Smith', 'Silvermoon Guardian', 'Silvermoon Guardian', 'Arcane Golem', 'Arcane Golem', 'Ironforge Rifleman', 'Ironforge Rifleman', 'Tauren Warrior', 'Tauren Warrior', 'Emperor Cobra', 'Emperor Cobra', 'Imp Master', 'Imp Master'])"
16,239.08456873893738,322,-15.385175983436852,9.213333333333333,"([-23.570425963676517, -22.6284243054703, 8.528315253145324, 11.531143043583736, -10.77276230721861, 4.660670828277182, 9.301869012152975, 2.020435880294104, 4.978942363406438, -7.965704969331031, -10.366955075861306, 6.437134482921969, -9.566101758138423, -0.21942220173367166, 9.297318936095754, 3.6224285065142423, 7.014603032190957, 2.604554366060222, -17.102793477566607, -10.177220467398442, -12.93436220887664], ['Priestess of Elune', 'Priestess of Elune', ""Kor'kron Elite"", ""Kor'kron Elite"", 'Grimscale Oracle', 'Grimscale Oracle', 'Oasis Snapjaw', 'Oasis Snapjaw', ""Kor'kron Elite"", ""Kor'kron Elite"", 'Razorfen Hunter', 'Razorfen Hunter', 'Ironfur Grizzly', 'Ironfur Grizzly', 'Bloodfen Raptor', 'Bloodfen Raptor', 'Spiteful Smith', 'Spiteful Smith', 'Silvermoon Guardian', 'Silvermoon Guardian', 'Arcane Golem', 'Arcane Golem', 'Ironforge Rifleman', 'Ironforge Rifleman', 'Tauren Warrior', 'Tauren Warrior', 'Fiery War Axe', 'Fiery War Axe', 'Imp Master', 'Imp Master'])"
17,297.71068239212036,338,-15.389033530571993,9.213333333333333,"([-23.570425963676517, -22.6284243054703, 8.528315253145324, 11.531143043583736, -10.77276230721861, 4.660670828277182, 9.301869012152975, 2.020435880294104, 4.978942363406438, -7.965704969331031, -10.366955075861306, 6.437134482921969, -9.566101758138423, -0.21942220173367166, 9.297318936095754, 3.6224285065142423, 7.014603032190957, 2.604554366060222, -17.102793477566607, -10.177220467398442, -12.93436220887664], ['Priestess of Elune', 'Priestess of Elune', ""Kor'kron Elite"", ""Kor'kron Elite"", 'Grimscale Oracle', 'Grimscale Oracle', 'Oasis Snapjaw', 'Oasis Snapjaw', ""Kor'kron Elite"", ""Kor'kron Elite"", 'Razorfen Hunter', 'Razorfen Hunter', 'Slam', 'Slam', 'Bloodfen Raptor', 'Bloodfen Raptor', 'Upgrade!', 'Upgrade!', 'Silvermoon Guardian', 'Silvermoon Guardian', 'Arcane Golem', 'Arcane Golem', 'Ironforge Rifleman', 'Ironforge Rifleman', 'Tauren Warrior', 'Tauren Warrior', 'Fiery War Axe', 'Fiery War Axe', 'Imp Master', 'Imp Master'])"
18,290.1714107990265,347,-15.300019212295869,9.213333333333333,"([-23.570425963676517, -22.6284243054703, 8.528315253145324, 11.531143043583736, -10.77276230721861, 4.660670828277182, 9.301869012152975, 2.020435880294104, 4.978942363406438, -7.965704969331031, -10.366955075861306, 6.437134482921969, -9.566101758138423, -0.21942220173367166, 9.297318936095754, 3.6224285065142423, 7.014603032190957, 2.604554366060222, -17.102793477566607, -10.177220467398442, -12.93436220887664], ['Priestess of Elune', 'Priestess of Elune', ""Kor'kron Elite"", ""Kor'kron Elite"", 'Grimscale Oracle', 'Grimscale Oracle', 'Oasis Snapjaw', 'Oasis Snapjaw', ""Kor'kron Elite"", ""Kor'kron Elite"", 'Razorfen Hunter', 'Razorfen Hunter', 'Slam', 'Slam', 'Bloodfen Raptor', 'Bloodfen Raptor', 'Upgrade!', 'Upgrade!', 'Silvermoon Guardian', 'Silvermoon Guardian', 'Arcane Golem', 'Arcane Golem', 'Ironforge Rifleman', 'Ironforge Rifleman', 'Tauren Warrior', 'Tauren Warrior', 'Fiery War Axe', 'Fiery War Axe', 'Imp Master', 'Imp Master'])"
19,274.59963965415955,364,-15.285824175824176,9.213333333333333,"([-23.570425963676517, -22.6284243054703, 8.528315253145324, 11.531143043583736, -10.77276230721861, 4.660670828277182, 9.301869012152975, 2.020435880294104, 4.978942363406438, -7.965704969331031, -10.366955075861306, 6.437134482921969, -9.566101758138423, -0.21942220173367166, 9.297318936095754, 3.6224285065142423, 7.014603032190957, 2.604554366060222, -17.102793477566607, -10.177220467398442, -12.93436220887664], ['Priestess of Elune', 'Priestess of Elune', ""Kor'kron Elite"", ""Kor'kron Elite"", 'Mana Wraith', 'Mana Wraith', 'Sea Giant', 'Sea Giant', ""Kor'kron Elite"", ""Kor'kron Elite"", 'Gurubashi Berserker', 'Gurubashi Berserker', 'Slam', 'Slam', 'Bloodfen Raptor', 'Bloodfen Raptor', 'Upgrade!', 'Upgrade!', 'Silvermoon Guardian', 'Silvermoon Guardian', 'Arcane Golem', 'Arcane Golem', 'Ironforge Rifleman', 'Ironforge Rifleman', 'Mana Wraith', 'Mana Wraith', 'Kobold Geomancer', 'Kobold Geomancer', 'Imp Master', 'Imp Master'])"
