generation,best_winrate_vs_hof,mean_winrate_vs_hof,promoted,winrate_vs_champion,hof_size
1,0.796875,0.4951368343195266,True,0.6916666666666667,2
2,0.6754206730769231,0.5448039940828402,False,0.525,2
3,0.7140625,0.6139839127218936,False,0.475,2
4,0.834375,0.7099898298816568,True,0.65,3
5,0.6565304487179487,0.5700197238658777,False,0.5166666666666666,3
6,0.7099358974358975,0.6225653353057199,True,0.575,3
7,0.6703125,0.5741771449704142,False,0.35833333333333334,3
8,0.6674278846153846,0.581564349112426,False,0.43333333333333335,3
9,0.6463942307692307,0.5656589003944773,False,0.49166666666666664,3
10,0.6557291666666667,0.5726300542406312,False,0.42500000000000004,3
11,0.6135817307692307,0.5647898175542406,False,0.475,3
12,0.6760416666666667,0.6209442800788955,False,0.4,3
13,0.7297676282051282,0.6292622041420118,True,0.5833333333333334,3
14,0.5356971153846154,0.4621825690335306,False,0.5333333333333333,3
15,0.578926282051282,0.46789940828402365,False,0.5,3
16,0.6432291666666666,0.5234159270216963,False,0.5083333333333333,3
17,0.6127804487179487,0.5242017998027613,False,0.4666666666666667,3
18,0.6330929487179487,0.5266765285996056,False,0.3833333333333333,3
19,0.5862179487179487,0.4727317554240631,False,0.3416666666666667,3
20,0.5909054487179487,0.5296289447731756,False,0.5083333333333333,3
21,0.6109375,0.5105954142011835,False,0.5,3
22,0.6109775641025641,0.5333271696252465,False,0.425,3
23,0.591426282051282,0.50972016765286,False,0.43333333333333335,3
