class,card,mode,mean_delta_wr,host_deltas,games_per_side
WARRIOR,Stoneskin Gargoyle,addition,0.0048,+0.035|+0.011|-0.028|+0.013|-0.007,2700
WARRIOR,Baron Rivendare,addition,0.0041,+0.041|+0.011|-0.006|-0.020|-0.006,2700
WARRIOR,Wailing Soul,addition,-0.0022,+0.028|+0.007|-0.033|-0.013|+0.000,2700
WARRIOR,Feugen,addition,0.0259,+0.072|+0.056|-0.022|+0.017|+0.007,2700
WARRIOR,Stalagg,addition,0.0156,+0.035|+0.026|-0.031|+0.056|-0.007,2700
WARRIOR,Loatheb,addition,0.0122,+0.035|+0.041|-0.002|-0.017|+0.004,2700
WARRIOR,Sludge Belcher,addition,0.0552,+0.091|+0.061|+0.011|+0.078|+0.035,2700
WARRIOR,Spectral Knight,addition,0.0144,+0.039|-0.015|+0.030|+0.004|+0.015,2700
WARRIOR,Maexxna,addition,0.0085,+0.048|+0.013|+0.000|-0.006|-0.013,2700
WARRIOR,Kel'Thuzad,addition,-0.0011,+0.028|+0.011|-0.019|-0.007|-0.019,2700
WARRIOR,Death's Bite,addition,-0.0059,+0.033|-0.004|-0.006|-0.024|-0.030,2700
