era,readout,levels_mae,movers_mae,staples_mae,overpred_rate,movers_spearman,direction_rate,overall_spearman,n_overpred_total,n_ceiling_total,buzzard_hunter
buzzard_nerf,d_pooled_last1,0.104,0.1673,0.2169,0.0082,0.5872,0.5408,0.3889,3,3,0.3182
buzzard_nerf,d_pooled_last3,0.1019,0.1656,0.2115,0.0081,0.5908,0.5517,0.3931,3,3,0.3478
buzzard_nerf,d_pooled_last5,0.1014,0.1664,0.2028,0.008,0.5955,0.5358,0.3883,3,3,0.375
buzzard_nerf,d_pooled_last10,0.098,0.1631,0.1946,0.008,0.6114,0.5249,0.4179,3,3,0.4194
buzzard_nerf,d_pooled_last25,0.0908,0.1538,0.188,0.0085,0.6242,0.5186,0.4594,3,2,0.4583
buzzard_nerf,d_coarsen3,0.1296,0.1745,0.2709,0.0196,0.5951,0.6261,0.3791,6,8,0.25
buzzard_nerf,d_coarsen5,0.1684,0.2517,0.3855,0.0628,0.4285,0.5957,0.3411,19,21,0.3333
buzzard_nerf,e1_pooled_softmax_T0.005,0.2126,0.3183,0.5644,0.1461,0.5476,0.5608,0.4435,42,43,0.9993
buzzard_nerf,e1_pooled_softmax_T0.01,0.2042,0.3098,0.5308,0.1359,0.5482,0.5608,0.4225,40,16,0.9735
buzzard_nerf,e1_pooled_softmax_T0.02,0.1868,0.2842,0.4844,0.084,0.5587,0.5513,0.4152,26,7,0.8454
buzzard_nerf,e1_pooled_softmax_T0.05,0.1385,0.2147,0.3427,0.029,0.6066,0.6233,0.3992,9,3,0.6188
buzzard_nerf,e1_pooled_softmax_T0.1,0.1123,0.1786,0.2565,0.0122,0.6251,0.5884,0.4374,4,2,0.5346
buzzard_nerf,e1_pooled_softmax_T0.2,0.1004,0.1615,0.2209,0.0088,0.6149,0.563,0.459,3,2,0.499
buzzard_nerf,e1_pooled_softmax_T0.5,0.0925,0.1558,0.203,0.0086,0.6194,0.5725,0.4663,3,2,0.4767
buzzard_nerf,e2_gen_mean,0.0931,0.1523,0.1918,0.0085,0.6202,0.5104,0.4714,3,2,0.4479
buzzard_nerf,e3_quantile_final,0.0938,0.1614,0.2053,0.0,0.5872,0.5435,0.3892,0,0,0.2951
buzzard_nerf,e3_quantile_pooled25,0.0855,0.1523,0.1784,0.0,0.6242,0.5553,0.4616,0,0,0.4927
buzzard_nerf,e5_massmatch_final,0.0922,0.158,0.2183,0.0055,0.5872,0.5562,0.3889,2,0,0.2454
buzzard_nerf,e5_massmatch_pooled25,0.083,0.1492,0.196,0.0057,0.6242,0.5376,0.4594,2,0,0.3874
buzzard_nerf,e4_pooled25_inertia_a0.3,0.0506,0.108,0.102,0.0,0.7697,0.5186,0.8069,0,0,0.6512
buzzard_nerf,e4_pooled25_inertia_a0.5,0.0585,0.1101,0.1202,0.0,0.7365,0.5186,0.7047,0,0,0.5961
buzzard_nerf,e4_pooled25_inertia_a0.7,0.0715,0.1216,0.1466,0.0029,0.7056,0.5186,0.6068,1,0,0.541
buzzard_nerf,f_inertia_a0.3,0.052,0.1031,0.1074,0.0,0.7863,0.5408,0.7794,0,0,0.6092
buzzard_nerf,f_inertia_a0.5,0.0623,0.1074,0.1266,0.0,0.733,0.5408,0.6757,0,0,0.526
buzzard_nerf,f_inertia_a0.7,0.0778,0.1261,0.1549,0.0029,0.6947,0.5408,0.5716,1,0,0.4429
