class,card,mode,mean_delta_wr,host_deltas,games_per_side
WARRIOR,Stoneskin Gargoyle,addition,-0.0067,-0.019|+0.052|+0.019|-0.007|-0.078,1350
WARRIOR,Baron Rivendare,addition,-0.0215,+0.011|+0.019|-0.041|-0.019|-0.078,1350
WARRIOR,Wailing Soul,addition,0.0044,+0.015|+0.007|+0.037|+0.007|-0.044,1350
WARRIOR,Feugen,addition,0.0259,+0.030|+0.067|+0.041|+0.000|-0.007,1350
WARRIOR,Stalagg,addition,0.0289,+0.004|+0.063|+0.059|+0.059|-0.041,1350
WARRIOR,Loatheb,addition,0.0237,+0.056|+0.074|-0.007|+0.041|-0.044,1350
WARRIOR,Sludge Belcher,addition,0.0163,+0.056|+0.022|+0.056|+0.044|-0.096,1350
WARRIOR,Spectral Knight,addition,-0.0089,+0.026|+0.052|-0.026|-0.019|-0.078,1350
WARRIOR,Maexxna,addition,-0.0193,+0.022|+0.000|-0.063|-0.007|-0.048,1350
WARRIOR,Kel'Thuzad,addition,0.0193,+0.052|+0.030|+0.022|+0.085|-0.093,1350
WARRIOR,Death's Bite,addition,-0.0119,+0.007|+0.056|-0.070|+0.015|-0.067,1350
