class,card,mode,mean_delta_wr,host_deltas,games_per_side
WARRIOR,Shade of Naxxramas,addition,0.0059,+0.022|+0.069|-0.039|-0.002|-0.020,2700
WARRIOR,Stoneskin Gargoyle,addition,-0.0363,-0.035|-0.002|-0.044|-0.069|-0.031,2700
WARRIOR,Baron Rivendare,addition,-0.0207,-0.026|+0.026|-0.054|-0.028|-0.022,2700
WARRIOR,Wailing Soul,addition,-0.0237,-0.072|+0.044|-0.009|-0.044|-0.037,2700
WARRIOR,Feugen,addition,0.0037,-0.011|+0.054|+0.024|-0.007|-0.041,2700
WARRIOR,Stalagg,addition,-0.0111,-0.039|+0.028|-0.030|-0.019|+0.004,2700
WARRIOR,Loatheb,addition,-0.0126,-0.022|+0.093|-0.063|-0.031|-0.039,2700
WARRIOR,Sludge Belcher,addition,0.0319,-0.002|+0.065|+0.048|+0.031|+0.017,2700
WARRIOR,Spectral Knight,addition,0.0107,+0.019|+0.048|+0.009|-0.004|-0.019,2700
WARRIOR,Maexxna,addition,-0.01,+0.013|-0.006|-0.024|-0.019|-0.015,2700
WARRIOR,Kel'Thuzad,addition,-0.0267,-0.037|+0.030|-0.048|-0.041|-0.037,2700
WARRIOR,Death's Bite,addition,-0.0259,+0.006|+0.020|-0.050|-0.056|-0.050,2700
