mode,period,class,variant,buzzard,real_buzzard,n_scored,levels_mae,max_abs_err,n_overpred,overpred_rate,n_pred_ge95,overpred_precision,n_at_ceiling,movers_mae,staples_mae,n_staples,movers_spearman,n_movers,direction_hits,direction_rate,overall_spearman
anchored,p4_postnerf_late,MAGE,raw,0.0,0.0,140,0.0744,0.3738,0,0.0,0,0.0,0,0.1188,0.1707,13,0.7392,24,15,0.625,0.5338
anchored,p4_postnerf_late,MAGE,massmatch,0.0,0.0,140,0.0642,0.3839,0,0.0,0,0.0,0,0.0962,0.1868,7,0.7392,24,17,0.7083,0.5338
anchored,p4_postnerf_late,MAGE,quantile,0.0,0.0,140,0.0626,0.2907,0,0.0,0,0.0,0,0.114,0.1429,10,0.7392,24,13,0.5417,0.5338
anchored,p4_postnerf_late,WARRIOR,raw,0.0,0.0,119,0.1018,0.3716,2,0.0168,2,1.0,0,0.1683,0.1761,16,0.7106,25,11,0.44,0.4601
anchored,p4_postnerf_late,WARRIOR,massmatch,0.0,0.0,119,0.0861,0.3233,0,0.0,0,0.0,0,0.1443,0.1451,13,0.7106,25,13,0.52,0.4601
anchored,p4_postnerf_late,WARRIOR,quantile,0.0,0.0,119,0.0915,0.3695,0,0.0,0,0.0,0,0.1675,0.1725,15,0.7106,25,11,0.44,0.4601
free,p1_naxx_early,HUNTER,raw,1.0,0.7859,103,0.0975,0.4931,4,0.0388,4,1.0,4,0.166,0.1986,18,0.7014,36,19,0.5278,0.5672
free,p1_naxx_early,HUNTER,massmatch,0.9463,0.7859,103,0.0767,0.5064,0,0.0,0,0.0,0,0.1407,0.2111,17,0.7014,36,25,0.6944,0.5672
free,p1_naxx_early,HUNTER,quantile,0.8997,0.7859,103,0.077,0.5231,0,0.0,0,0.0,0,0.1431,0.1749,18,0.7014,36,21,0.5833,0.5672
free,p1_naxx_early,MAGE,raw,0.0,0.0,131,0.1065,0.5686,1,0.0076,1,1.0,1,0.1509,0.2521,13,0.5118,55,22,0.4,0.4777
free,p1_naxx_early,MAGE,massmatch,0.0,0.0,131,0.0852,0.4349,1,0.0076,1,1.0,0,0.1274,0.2101,9,0.5118,55,36,0.6545,0.4777
free,p1_naxx_early,MAGE,quantile,0.0,0.0,131,0.0904,0.584,1,0.0076,2,0.5,0,0.1435,0.2234,12,0.5118,55,30,0.5455,0.4777
free,p1_naxx_early,WARRIOR,raw,0.0,0.0,121,0.1285,0.5861,1,0.0083,1,1.0,1,0.1688,0.2138,18,0.4108,42,22,0.5238,0.3316
free,p1_naxx_early,WARRIOR,massmatch,0.0,0.0,121,0.1082,0.5665,0,0.0,0,0.0,0,0.1535,0.2548,13,0.4108,42,26,0.619,0.3316
free,p1_naxx_early,WARRIOR,quantile,0.0,0.0,121,0.1102,0.603,0,0.0,0,0.0,0,0.1678,0.2109,15,0.4108,42,26,0.619,0.3316
free,p2_naxx_late,HUNTER,raw,1.0,0.528,107,0.1381,0.712,3,0.028,3,1.0,3,0.2454,0.2851,20,0.4436,29,8,0.2759,0.423
free,p2_naxx_late,HUNTER,massmatch,0.9333,0.528,107,0.1121,0.6453,0,0.0,0,0.0,0,0.2249,0.3168,15,0.4436,29,10,0.3448,0.423
free,p2_naxx_late,HUNTER,quantile,0.9088,0.528,107,0.1166,0.6572,0,0.0,0,0.0,0,0.249,0.282,20,0.4436,29,7,0.2414,0.423
free,p2_naxx_late,MAGE,raw,0.0,0.0,131,0.1212,0.5185,1,0.0076,1,1.0,1,0.1794,0.2994,20,0.4981,35,21,0.6,0.3966
free,p2_naxx_late,MAGE,massmatch,0.0,0.0,131,0.0951,0.5041,1,0.0076,1,1.0,0,0.1491,0.2598,13,0.4981,35,19,0.5429,0.3966
free,p2_naxx_late,MAGE,quantile,0.0,0.0,131,0.0986,0.5129,1,0.0076,1,1.0,0,0.1631,0.2691,14,0.4981,35,20,0.5714,0.3966
free,p2_naxx_late,WARRIOR,raw,0.0,0.0,134,0.1022,0.7575,1,0.0075,1,1.0,1,0.1607,0.1986,17,0.5393,15,6,0.4,0.3856
free,p2_naxx_late,WARRIOR,massmatch,0.0,0.0,134,0.0891,0.6628,1,0.0075,1,1.0,0,0.1663,0.1852,15,0.5393,15,4,0.2667,0.3856
free,p2_naxx_late,WARRIOR,quantile,0.0,0.0,134,0.0918,0.6904,0,0.0,0,0.0,0,0.1669,0.1811,15,0.5393,15,5,0.3333,0.3856
free,p3_postnerf_early,HUNTER,raw,0.8333,0.1615,107,0.1857,0.7981,4,0.0374,4,1.0,4,0.3293,0.3686,23,0.1944,30,7,0.2333,0.3286
free,p3_postnerf_early,HUNTER,massmatch,0.6407,0.1615,107,0.1407,0.712,0,0.0,0,0.0,0,0.2904,0.4142,18,0.1944,30,8,0.2667,0.3286
free,p3_postnerf_early,HUNTER,quantile,0.7994,0.1615,107,0.146,0.6978,0,0.0,0,0.0,0,0.3446,0.3915,23,0.1944,30,8,0.2667,0.3286
free,p3_postnerf_early,MAGE,raw,0.0,0.0,134,0.1353,0.6344,0,0.0,1,0.0,1,0.2262,0.3129,17,0.1867,15,6,0.4,0.2706
free,p3_postnerf_early,MAGE,massmatch,0.0,0.0,134,0.1076,0.5717,0,0.0,1,0.0,0,0.2168,0.3313,11,0.1867,15,6,0.4,0.2706
free,p3_postnerf_early,MAGE,quantile,0.0,0.0,123,0.1242,0.6498,1,0.0081,2,0.5,0,0.2525,0.3398,16,0.1867,15,5,0.3333,0.2423
free,p3_postnerf_early,WARRIOR,raw,0.0,0.0,141,0.105,0.7603,0,0.0,1,0.0,0,0.2035,0.2287,18,0.5111,25,10,0.4,0.3494
free,p3_postnerf_early,WARRIOR,massmatch,0.0,0.0,141,0.0884,0.7493,0,0.0,0,0.0,0,0.1895,0.2177,16,0.5111,25,11,0.44,0.3494
free,p3_postnerf_early,WARRIOR,quantile,0.0,0.0,122,0.103,0.7576,0,0.0,0,0.0,0,0.1928,0.2145,16,0.5111,25,10,0.4,0.3731
free,p4_postnerf_late,HUNTER,raw,1.0,0.1753,102,0.1921,0.8247,2,0.0196,3,0.6667,3,0.3071,0.3451,28,0.1048,17,12,0.7059,0.2937
free,p4_postnerf_late,HUNTER,massmatch,0.9107,0.1753,102,0.1468,0.7354,0,0.0,0,0.0,0,0.3372,0.4082,18,0.1048,17,12,0.7059,0.2937
free,p4_postnerf_late,HUNTER,quantile,0.9088,0.1753,102,0.1478,0.7335,0,0.0,0,0.0,0,0.3525,0.3619,19,0.1048,17,11,0.6471,0.2937
free,p4_postnerf_late,MAGE,raw,0.0,0.0,132,0.1579,0.6208,0,0.0,0,0.0,0,0.2472,0.3423,16,0.0701,24,13,0.5417,0.1175
free,p4_postnerf_late,MAGE,massmatch,0.0,0.0,132,0.1177,0.6125,0,0.0,0,0.0,0,0.2158,0.2979,10,0.0701,24,14,0.5833,0.1175
free,p4_postnerf_late,MAGE,quantile,0.0,0.0,132,0.1258,0.6301,0,0.0,2,0.0,0,0.238,0.3486,16,0.0701,24,14,0.5833,0.1175
free,p4_postnerf_late,WARRIOR,raw,0.0,0.0,126,0.1319,0.6436,0,0.0,0,0.0,0,0.1558,0.2351,19,0.4589,25,19,0.76,0.3799
free,p4_postnerf_late,WARRIOR,massmatch,0.0,0.0,126,0.1075,0.6302,0,0.0,0,0.0,0,0.179,0.2751,12,0.4589,25,19,0.76,0.3799
free,p4_postnerf_late,WARRIOR,quantile,0.0,0.0,126,0.108,0.6395,0,0.0,0,0.0,0,0.1951,0.2451,17,0.4589,25,15,0.6,0.3799
