card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Pyroblast,0.0,0.3571,0.0,16,14,24
Raging Worgen,0.0,0.2143,0.0833,16,14,24
Ragnaros the Firelord,0.0,0.7143,0.2083,16,14,24
Ravenholdt Assassin,0.0,0.0,0.0833,16,14,24
Razorfen Hunter,0.0,0.0,0.1667,16,14,24
Reckless Rocketeer,0.0,0.2143,0.0,16,14,24
River Crocolisk,0.0625,0.0,0.0,16,14,24
Savannah Highmane,0.375,0.0,0.0,16,14,24
Scavenging Hyena,0.6875,0.0,0.0,16,14,24
Sea Giant,0.0625,0.0,0.0,16,14,24
Sen'jin Shieldmasta,0.0,0.0,0.1667,16,14,24
Shattered Sun Cleric,0.0,0.0,0.0417,16,14,24
Shield Block,0.0,0.0,0.875,16,14,24
Shield Slam,0.0,0.0,0.2917,16,14,24
Silver Hand Knight,0.0,0.0714,0.125,16,14,24
Silvermoon Guardian,0.0,0.0,0.0833,16,14,24
Slam,0.0,0.0,0.9167,16,14,24
Sludge Belcher,0.4375,0.4286,0.375,16,14,24
Snake Trap,0.0625,0.0,0.0,16,14,24
Snipe,0.375,0.0,0.0,16,14,24
Sorcerer's Apprentice,0.0,0.4286,0.0,16,14,24
Spectral Knight,0.0,0.0,0.1667,16,14,24
Spellbreaker,0.0,0.0,0.0417,16,14,24
Stalagg,0.0,0.0,0.0417,16,14,24
Stampeding Kodo,0.0,0.1429,0.0,16,14,24
Starving Buzzard,1.0,0.0,0.0,16,14,24
Stonetusk Boar,0.3125,0.0714,0.0,16,14,24
Stormwind Knight,0.0625,0.0,0.0,16,14,24
Stranglethorn Tiger,0.375,0.0,0.2083,16,14,24
Sunfury Protector,0.0,0.0714,0.0417,16,14,24
Sunwalker,0.0,0.4286,0.0,16,14,24
Sylvanas Windrunner,0.125,0.1429,0.25,16,14,24
The Black Knight,0.0,0.4286,0.6667,16,14,24
Thrallmar Farseer,0.0,0.0,0.2083,16,14,24
Timber Wolf,0.625,0.0,0.0,16,14,24
Tinkmaster Overspark,0.0,0.0,0.0833,16,14,24
Tracking,0.5,0.0,0.0,16,14,24
Tundra Rhino,0.3125,0.0,0.0,16,14,24
Twilight Drake,0.0,0.0714,0.0417,16,14,24
Undertaker,0.0625,0.0,0.0417,16,14,24
Unleash the Hounds,1.0,0.0,0.0,16,14,24
Unstable Ghoul,0.0,0.0,0.25,16,14,24
Upgrade!,0.0,0.0,0.0417,16,14,24
Vaporize,0.0,0.1429,0.0,16,14,24
Venture Co. Mercenary,0.0,0.0,0.0833,16,14,24
Violet Teacher,0.0,0.0,0.125,16,14,24
Voodoo Doctor,0.0,0.0,0.1667,16,14,24
Warsong Commander,0.0,0.0,0.0833,16,14,24
Water Elemental,0.0,0.8571,0.0,16,14,24
Webspinner,0.25,0.0,0.0,16,14,24
Whirlwind,0.0,0.0,0.875,16,14,24
Wild Pyromancer,0.0,0.4286,0.6667,16,14,24
Windfury Harpy,0.0,0.0,0.0833,16,14,24
Wolfrider,0.0,0.0,0.0833,16,14,24
Worgen Infiltrator,0.0,0.1429,0.0,16,14,24
Young Dragonhawk,0.3125,0.0,0.0,16,14,24
Young Priestess,0.0625,0.2857,0.0,16,14,24
Ysera,0.0,0.0714,0.0417,16,14,24
Zombie Chow,0.1875,0.0,0.0833,16,14,24
