card,hunter_share,mage_share,warrior_share,hunter_n_elites,mage_n_elites,warrior_n_elites
Abusive Sergeant,0.125,0.0,0.0,16,17,20
Acidic Swamp Ooze,0.25,0.0,0.0,16,17,20
Acolyte of Pain,0.0,0.2941,0.55,16,17,20
Alexstrasza,0.0625,0.4118,0.25,16,17,20
Amani Berserker,0.0,0.1765,0.25,16,17,20
Ancient Mage,0.125,0.0,0.0,16,17,20
Ancient Watcher,0.0,0.1176,0.0,16,17,20
Animal Companion,0.75,0.0,0.0,16,17,20
Arathi Weaponsmith,0.0,0.0,0.35,16,17,20
Arcane Explosion,0.0,0.2353,0.0,16,17,20
Arcane Golem,0.125,0.0,0.0,16,17,20
Arcane Intellect,0.0,0.5882,0.0,16,17,20
Arcane Missiles,0.0,0.5882,0.0,16,17,20
Arcane Shot,0.1875,0.0,0.0,16,17,20
Arcanite Reaper,0.0,0.0,0.45,16,17,20
Archmage Antonidas,0.0,0.2941,0.0,16,17,20
Argent Commander,0.0,0.1765,0.1,16,17,20
Armorsmith,0.0,0.0,0.55,16,17,20
Azure Drake,0.3125,0.5882,0.0,16,17,20
Baron Geddon,0.0,0.0,0.25,16,17,20
Big Game Hunter,0.0,0.0,0.15,16,17,20
Blizzard,0.0,0.7059,0.0,16,17,20
Blood Knight,0.125,0.0,0.05,16,17,20
Bloodfen Raptor,0.0,0.0,0.05,16,17,20
Bloodmage Thalnos,0.0,0.8235,0.1,16,17,20
Bloodsail Corsair,0.0,0.0,0.1,16,17,20
Bloodsail Raider,0.0,0.1765,0.2,16,17,20
Bluegill Warrior,0.3125,0.0,0.0,16,17,20
Booty Bay Bodyguard,0.0,0.0,0.05,16,17,20
Boulderfist Ogre,0.0,0.0588,0.3,16,17,20
Brawl,0.0,0.0,0.25,16,17,20
Cairne Bloodhoof,0.0625,0.2353,0.45,16,17,20
Charge,0.0,0.0,0.25,16,17,20
Chillwind Yeti,0.125,0.1176,0.0,16,17,20
Cleave,0.0,0.0,0.25,16,17,20
Coldlight Oracle,0.0,0.1176,0.25,16,17,20
Commanding Shout,0.0,0.0,0.05,16,17,20
Cone of Cold,0.0,0.4118,0.0,16,17,20
Cruel Taskmaster,0.0,0.0,0.6,16,17,20
Dalaran Mage,0.0,0.0588,0.0,16,17,20
Dark Iron Dwarf,0.25,0.1176,0.0,16,17,20
Darkscale Healer,0.0,0.0588,0.0,16,17,20
Deadly Shot,0.5625,0.0,0.0,16,17,20
Death's Bite,0.0,0.0,0.05,16,17,20
Deathlord,0.1875,0.0,0.0,16,17,20
Defender of Argus,0.0,0.4118,0.0,16,17,20
Demolisher,0.0625,0.0,0.0,16,17,20
Dire Wolf Alpha,0.25,0.0,0.0,16,17,20
Doomsayer,0.0,0.4118,0.0,16,17,20
Dread Corsair,0.0,0.0,0.05,16,17,20
Eaglehorn Bow,0.6875,0.0,0.0,16,17,20
Earthen Ring Farseer,0.3125,0.2353,0.0,16,17,20
Echoing Ooze,0.0,0.0,0.1,16,17,20
Elite Tauren Chieftain,0.0,0.2353,0.25,16,17,20
Elven Archer,0.1875,0.1765,0.0,16,17,20
Emperor Cobra,0.0,0.2353,0.0,16,17,20
Execute,0.0,0.0,0.55,16,17,20
Explosive Shot,0.625,0.0,0.0,16,17,20
Explosive Trap,1.0,0.0,0.0,16,17,20
Faceless Manipulator,0.0,0.2353,0.3,16,17,20
Faerie Dragon,0.0625,0.1176,0.05,16,17,20
Fen Creeper,0.0,0.0588,0.0,16,17,20
Feugen,0.125,0.0,0.2,16,17,20
