generation,time_elapsed,population,mean_fitness,best_fitness,best_sample
10,372.58398032188416,122,-21.418360655737704,5.48,"([-9.70548838192227, 6.790337138460867, -3.04639708657093, -0.03338267375879027, -22.847892297272928, 1.0690985065626675, 9.034155743545112, 18.31659793505389, 9.167056052785862, 4.805475155879892, 1.0751119473760358, 8.613830860270857, -12.40284998243819, 13.07686611976169, -7.326993551431946, -8.432752520828341, -4.819018853423076, 8.842104735177283, 5.040064404035429, -2.0089309864247133, -2.274703094883655], ['Harvest Golem', 'Harvest Golem', 'Leper Gnome', 'Leper Gnome', 'Mirror Image', 'Mirror Image', 'Faerie Dragon', 'Faerie Dragon', 'Injured Blademaster', 'Injured Blademaster', 'Elven Archer', 'Elven Archer', 'Southsea Captain', 'Southsea Captain', 'Vaporize', 'Vaporize', 'Southsea Deckhand', 'Southsea Deckhand', 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer', 'Southsea Captain', 'Southsea Captain', 'Blizzard', 'Blizzard', 'Stranglethorn Tiger', 'Stranglethorn Tiger', 'Murloc Warleader', 'Murloc Warleader', 'Oasis Snapjaw', 'Oasis Snapjaw'])"
11,273.6173737049103,130,-21.375179487179487,5.48,"([-9.70548838192227, 6.790337138460867, -3.04639708657093, -0.03338267375879027, -22.847892297272928, 1.0690985065626675, 9.034155743545112, 18.31659793505389, 9.167056052785862, 4.805475155879892, 1.0751119473760358, 8.613830860270857, -12.40284998243819, 13.07686611976169, -7.326993551431946, -8.432752520828341, -4.819018853423076, 8.842104735177283, 5.040064404035429, -2.0089309864247133, -2.274703094883655], ['Harvest Golem', 'Harvest Golem', 'Leper Gnome', 'Leper Gnome', 'Mirror Image', 'Mirror Image', 'Faerie Dragon', 'Faerie Dragon', 'Injured Blademaster', 'Injured Blademaster', 'Elven Archer', 'Elven Archer', 'Southsea Captain', 'Southsea Captain', 'Vaporize', 'Vaporize', 'Southsea Deckhand', 'Southsea Deckhand', 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer', 'Southsea Captain', 'Southsea Captain', 'Blizzard', 'Blizzard', 'Stranglethorn Tiger', 'Stranglethorn Tiger', 'Murloc Warleader', 'Murloc Warleader', 'Oasis Snapjaw', 'Oasis Snapjaw'])"
12,444.075825214386,132,-21.365252525252526,5.48,"([-9.70548838192227, 6.790337138460867, -3.04639708657093, -0.03338267375879027, -22.847892297272928, 1.0690985065626675, 9.034155743545112, 18.31659793505389, 9.167056052785862, 4.805475155879892, 1.0751119473760358, 8.613830860270857, -12.40284998243819, 13.07686611976169, -7.326993551431946, -8.432752520828341, -4.819018853423076, 8.842104735177283, 5.040064404035429, -2.0089309864247133, -2.274703094883655], ['Harvest Golem', 'Harvest Golem', 'Leper Gnome', 'Leper Gnome', 'Mirror Image', 'Mirror Image', 'Faerie Dragon', 'Faerie Dragon', 'Injured Blademaster', 'Injured Blademaster', 'Elven Archer', 'Elven Archer', 'Southsea Captain', 'Southsea Captain', 'Vaporize', 'Vaporize', 'Southsea Deckhand', 'Southsea Deckhand', 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer', 'Southsea Captain', 'Southsea Captain', 'Blizzard', 'Blizzard', 'Stranglethorn Tiger', 'Stranglethorn Tiger', 'Murloc Warleader', 'Murloc Warleader', 'Oasis Snapjaw', 'Oasis Snapjaw'])"
13,306.05800580978394,139,-21.117697841726617,5.48,"([-9.70548838192227, 6.790337138460867, -3.04639708657093, -0.03338267375879027, -22.847892297272928, 1.0690985065626675, 9.034155743545112, 18.31659793505389, 9.167056052785862, 4.805475155879892, 1.0751119473760358, 8.613830860270857, -12.40284998243819, 13.07686611976169, -7.326993551431946, -8.432752520828341, -4.819018853423076, 8.842104735177283, 5.040064404035429, -2.0089309864247133, -2.274703094883655], ['Harvest Golem', 'Harvest Golem', 'Leper Gnome', 'Leper Gnome', 'Mirror Image', 'Mirror Image', 'Faerie Dragon', 'Faerie Dragon', 'Injured Blademaster', 'Injured Blademaster', 'Elven Archer', 'Elven Archer', 'Southsea Captain', 'Southsea Captain', 'Polymorph', 'Polymorph', 'Southsea Deckhand', 'Southsea Deckhand', 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer', 'Southsea Captain', 'Southsea Captain', 'Blizzard', 'Blizzard', 'Stranglethorn Tiger', 'Stranglethorn Tiger', 'Murloc Warleader', 'Murloc Warleader', 'Oasis Snapjaw', 'Oasis Snapjaw'])"
14,488.5888376235962,146,-21.033424657534248,5.48,"([-9.70548838192227, 6.790337138460867, -3.04639708657093, -0.03338267375879027, -22.847892297272928, 1.0690985065626675, 9.034155743545112, 18.31659793505389, 9.167056052785862, 4.805475155879892, 1.0751119473760358, 8.613830860270857, -12.40284998243819, 13.07686611976169, -7.326993551431946, -8.432752520828341, -4.819018853423076, 8.842104735177283, 5.040064404035429, -2.0089309864247133, -2.274703094883655], ['Mind Control Tech', 'Mind Control Tech', 'Leper Gnome', 'Leper Gnome', 'Mirror Image', 'Mirror Image', 'Faerie Dragon', 'Faerie Dragon', 'Injured Blademaster', 'Injured Blademaster', 'Elven Archer', 'Elven Archer', 'Southsea Captain', 'Southsea Captain', 'Polymorph', 'Polymorph', 'Southsea Deckhand', 'Southsea Deckhand', 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer', 'Southsea Captain', 'Southsea Captain', 'Blizzard', 'Blizzard', 'Water Elemental', 'Water Elemental', 'Murloc Warleader', 'Murloc Warleader', 'Oasis Snapjaw', 'Oasis Snapjaw'])"
15,536.420419216156,154,-21.103722943722943,5.48,"([-9.70548838192227, 6.790337138460867, -3.04639708657093, -0.03338267375879027, -22.847892297272928, 1.0690985065626675, 9.034155743545112, 18.31659793505389, 9.167056052785862, 4.805475155879892, 1.0751119473760358, 8.613830860270857, -12.40284998243819, 13.07686611976169, -7.326993551431946, -8.432752520828341, -4.819018853423076, 8.842104735177283, 5.040064404035429, -2.0089309864247133, -2.274703094883655], ['Mogushan Warden', 'Mogushan Warden', 'Leper Gnome', 'Leper Gnome', 'Mirror Image', 'Mirror Image', 'Faerie Dragon', 'Faerie Dragon', 'Injured Blademaster', 'Injured Blademaster', 'Elven Archer', 'Elven Archer', 'Southsea Captain', 'Southsea Captain', 'Polymorph', 'Polymorph', 'Abomination', 'Abomination', 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer', 'Southsea Captain', 'Southsea Captain', 'Raging Worgen', 'Raging Worgen', 'Water Elemental', 'Water Elemental', 'Murloc Warleader', 'Murloc Warleader', 'Oasis Snapjaw', 'Oasis Snapjaw'])"
16,346.5625967979431,161,-21.167784679089028,5.48,"([-9.70548838192227, 6.790337138460867, -3.04639708657093, -0.03338267375879027, -22.847892297272928, 1.0690985065626675, 9.034155743545112, 18.31659793505389, 9.167056052785862, 4.805475155879892, 1.0751119473760358, 8.613830860270857, -12.40284998243819, 13.07686611976169, -7.326993551431946, -8.432752520828341, -4.819018853423076, 8.842104735177283, 5.040064404035429, -2.0089309864247133, -2.274703094883655], ['Mogushan Warden', 'Mogushan Warden', 'Leper Gnome', 'Leper Gnome', 'Mirror Image', 'Mirror Image', 'Faerie Dragon', 'Faerie Dragon', 'Injured Blademaster', 'Injured Blademaster', 'Elven Archer', 'Elven Archer', 'Southsea Captain', 'Southsea Captain', 'Polymorph', 'Polymorph', 'River Crocolisk', 'River Crocolisk', 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer', 'Southsea Captain', 'Southsea Captain', 'Raging Worgen', 'Raging Worgen', 'Water Elemental', 'Water Elemental', 'Murloc Warleader', 'Murloc Warleader', 'Oasis Snapjaw', 'Oasis Snapjaw'])"
17,339.8267226219177,169,-21.102564102564102,5.48,"([-9.70548838192227, 6.790337138460867, -3.04639708657093, -0.03338267375879027, -22.847892297272928, 1.0690985065626675, 9.034155743545112, 18.31659793505389, 9.167056052785862, 4.805475155879892, 1.0751119473760358, 8.613830860270857, -12.40284998243819, 13.07686611976169, -7.326993551431946, -8.432752520828341, -4.819018853423076, 8.842104735177283, 5.040064404035429, -2.0089309864247133, -2.274703094883655], ['Mogushan Warden', 'Mogushan Warden', 'Leper Gnome', 'Leper Gnome', 'Mirror Image', 'Mirror Image', 'Faerie Dragon', 'Faerie Dragon', 'Injured Blademaster', 'Injured Blademaster', 'Elven Archer', 'Elven Archer', 'Southsea Captain', 'Southsea Captain', 'Polymorph', 'Polymorph', 'River Crocolisk', 'River Crocolisk', 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer', 'Southsea Captain', 'Southsea Captain', 'Raging Worgen', 'Raging Worgen', 'Water Elemental', 'Water Elemental', 'Murloc Warleader', 'Murloc Warleader', 'Oasis Snapjaw', 'Oasis Snapjaw'])"
18,481.01643323898315,173,-20.95684007707129,5.48,"([-9.70548838192227, 6.790337138460867, -3.04639708657093, -0.03338267375879027, -22.847892297272928, 1.0690985065626675, 9.034155743545112, 18.31659793505389, 9.167056052785862, 4.805475155879892, 1.0751119473760358, 8.613830860270857, -12.40284998243819, 13.07686611976169, -7.326993551431946, -8.432752520828341, -4.819018853423076, 8.842104735177283, 5.040064404035429, -2.0089309864247133, -2.274703094883655], ['Mogushan Warden', 'Mogushan Warden', 'Leper Gnome', 'Leper Gnome', 'Mirror Image', 'Mirror Image', 'Faerie Dragon', 'Faerie Dragon', 'Injured Blademaster', 'Injured Blademaster', 'Elven Archer', 'Elven Archer', 'Southsea Captain', 'Southsea Captain', 'Polymorph', 'Polymorph', 'River Crocolisk', 'River Crocolisk', 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer', 'Southsea Captain', 'Southsea Captain', 'Raging Worgen', 'Raging Worgen', 'Water Elemental', 'Water Elemental', 'Murloc Warleader', 'Murloc Warleader', 'Oasis Snapjaw', 'Oasis Snapjaw'])"
19,328.06749844551086,178,-20.807865168539326,5.48,"([-9.70548838192227, 6.790337138460867, -3.04639708657093, -0.03338267375879027, -22.847892297272928, 1.0690985065626675, 9.034155743545112, 18.31659793505389, 9.167056052785862, 4.805475155879892, 1.0751119473760358, 8.613830860270857, -12.40284998243819, 13.07686611976169, -7.326993551431946, -8.432752520828341, -4.819018853423076, 8.842104735177283, 5.040064404035429, -2.0089309864247133, -2.274703094883655], ['Mogushan Warden', 'Mogushan Warden', 'Leper Gnome', 'Leper Gnome', 'Mirror Image', 'Mirror Image', 'Faerie Dragon', 'Faerie Dragon', 'Injured Blademaster', 'Injured Blademaster', 'Elven Archer', 'Elven Archer', 'Southsea Captain', 'Southsea Captain', 'Polymorph', 'Polymorph', 'River Crocolisk', 'River Crocolisk', 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer', 'Southsea Captain', 'Southsea Captain', 'Raging Worgen', 'Raging Worgen', 'Water Elemental', 'Water Elemental', 'Murloc Warleader', 'Murloc Warleader', 'Oasis Snapjaw', 'Oasis Snapjaw'])"
