generation,games,n_samples,n_train,val_mse,win_vs_champion,win_vs_previous,adopted
0,12000,114931,114931,0.44793,0.3177,0.375,False
1,12000,115728,230659,0.4502,0.4167,0.5017,False
2,12000,116465,347124,0.46547,0.4844,0.5156,False
3,12000,115480,347673,0.44399,0.4948,0.5365,False
4,12000,115122,347067,0.44282,0.4688,0.5139,False
