generation,games,n_samples,n_train,val_mse,win_vs_champion,win_vs_previous,adopted
0,12000,111139,111139,0.45322,0.375,0.3802,False
1,12000,111063,222202,0.44939,0.4479,0.4688,False
2,12000,111092,333294,0.4462,0.474,0.5,False
3,12000,111360,333515,0.44781,0.4688,0.5608,False
4,12000,112051,334503,0.44645,0.474,0.5417,False
5,12000,110554,333965,0.44374,0.4514,0.5156,False
6,12000,112492,335097,0.44879,0.3924,0.4358,False
7,12000,112876,335922,0.44551,0.4306,0.4566,False
