generation,time_elapsed,population,mean_fitness,best_fitness,best_sample
10,401.6247892379761,213,-20.10528951486698,4.44,"([7.087549713397149, -4.585489617316927, 4.095394810014219, 13.756247317335545, -7.529340135234378, -1.7021478200494853, 13.473549070329888, 11.698764842668629, 3.0096910722552166, 5.825525237544004, -22.791375128320635, -1.729958809506063, -13.87615689458442, 2.099700275789477, -3.645598326226403, -8.417932858585425, 0.7223106315403528, 17.53332004680208, -13.119391060729999, 10.903933573631713, -8.746130206148758], ['Nightblade', 'Nightblade', 'Injured Blademaster', 'Injured Blademaster', 'Molten Giant', 'Molten Giant', 'Voodoo Doctor', 'Voodoo Doctor', 'Mind Control Tech', 'Mind Control Tech', 'Sunfury Protector', 'Sunfury Protector', 'River Crocolisk', 'River Crocolisk', 'Mogushan Warden', 'Mogushan Warden', 'Polymorph', 'Polymorph', 'Chillwind Yeti', 'Chillwind Yeti', 'Elven Archer', 'Elven Archer', 'Grimscale Oracle', 'Grimscale Oracle', 'Spellbreaker', 'Spellbreaker', 'Scarlet Crusader', 'Scarlet Crusader', 'Gurubashi Berserker', 'Gurubashi Berserker'])"
11,374.427597284317,230,-19.846260869565217,4.44,"([7.087549713397149, -4.585489617316927, 4.095394810014219, 13.756247317335545, -7.529340135234378, -1.7021478200494853, 13.473549070329888, 11.698764842668629, 3.0096910722552166, 5.825525237544004, -22.791375128320635, -1.729958809506063, -13.87615689458442, 2.099700275789477, -3.645598326226403, -8.417932858585425, 0.7223106315403528, 17.53332004680208, -13.119391060729999, 10.903933573631713, -8.746130206148758], ['Nightblade', 'Nightblade', 'Injured Blademaster', 'Injured Blademaster', 'Molten Giant', 'Molten Giant', 'Emperor Cobra', 'Emperor Cobra', 'Mind Control Tech', 'Mind Control Tech', 'Sunfury Protector', 'Sunfury Protector', 'River Crocolisk', 'River Crocolisk', 'Silverback Patriarch', 'Silverback Patriarch', 'Polymorph', 'Polymorph', 'Chillwind Yeti', 'Chillwind Yeti', 'Elven Archer', 'Elven Archer', 'Grimscale Oracle', 'Grimscale Oracle', 'Spellbreaker', 'Spellbreaker', 'Scarlet Crusader', 'Scarlet Crusader', 'Gurubashi Berserker', 'Gurubashi Berserker'])"
12,333.2149167060852,248,-19.517956989247313,4.44,"([7.087549713397149, -4.585489617316927, 4.095394810014219, 13.756247317335545, -7.529340135234378, -1.7021478200494853, 13.473549070329888, 11.698764842668629, 3.0096910722552166, 5.825525237544004, -22.791375128320635, -1.729958809506063, -13.87615689458442, 2.099700275789477, -3.645598326226403, -8.417932858585425, 0.7223106315403528, 17.53332004680208, -13.119391060729999, 10.903933573631713, -8.746130206148758], ['Nightblade', 'Nightblade', 'Injured Blademaster', 'Injured Blademaster', 'Mogushan Warden', 'Mogushan Warden', 'Southsea Captain', 'Southsea Captain', 'Stampeding Kodo', 'Stampeding Kodo', 'Sunfury Protector', 'Sunfury Protector', 'River Crocolisk', 'River Crocolisk', 'Silverback Patriarch', 'Silverback Patriarch', 'Polymorph', 'Polymorph', 'Flamestrike', 'Flamestrike', 'Elven Archer', 'Elven Archer', 'Doomsayer', 'Doomsayer', 'Spellbreaker', 'Spellbreaker', 'Scarlet Crusader', 'Scarlet Crusader', 'Gurubashi Berserker', 'Gurubashi Berserker'])"
13,228.76805567741394,269,-19.637125154894672,4.44,"([7.087549713397149, -4.585489617316927, 4.095394810014219, 13.756247317335545, -7.529340135234378, -1.7021478200494853, 13.473549070329888, 11.698764842668629, 3.0096910722552166, 5.825525237544004, -22.791375128320635, -1.729958809506063, -13.87615689458442, 2.099700275789477, -3.645598326226403, -8.417932858585425, 0.7223106315403528, 17.53332004680208, -13.119391060729999, 10.903933573631713, -8.746130206148758], ['Mana Wyrm', 'Mana Wyrm', 'Injured Blademaster', 'Injured Blademaster', 'Jungle Panther', 'Jungle Panther', 'Southsea Captain', 'Southsea Captain', 'Coldlight Seer', 'Coldlight Seer', 'Sunfury Protector', 'Sunfury Protector', 'River Crocolisk', 'River Crocolisk', 'Silverback Patriarch', 'Silverback Patriarch', 'Polymorph', 'Polymorph', 'Flamestrike', 'Flamestrike', 'Elven Archer', 'Elven Archer', 'Doomsayer', 'Doomsayer', 'Spellbreaker', 'Spellbreaker', 'Scarlet Crusader', 'Scarlet Crusader', 'Gurubashi Berserker', 'Gurubashi Berserker'])"
14,378.4142436981201,280,-19.404857142857143,4.44,"([7.087549713397149, -4.585489617316927, 4.095394810014219, 13.756247317335545, -7.529340135234378, -1.7021478200494853, 13.473549070329888, 11.698764842668629, 3.0096910722552166, 5.825525237544004, -22.791375128320635, -1.729958809506063, -13.87615689458442, 2.099700275789477, -3.645598326226403, -8.417932858585425, 0.7223106315403528, 17.53332004680208, -13.119391060729999, 10.903933573631713, -8.746130206148758], ['Mana Wyrm', 'Mana Wyrm', 'Injured Blademaster', 'Injured Blademaster', 'Jungle Panther', 'Jungle Panther', 'Southsea Captain', 'Southsea Captain', 'Coldlight Seer', 'Coldlight Seer', 'Sunfury Protector', 'Sunfury Protector', 'Stranglethorn Tiger', 'Stranglethorn Tiger', 'Chillwind Yeti', 'Chillwind Yeti', 'Polymorph', 'Polymorph', 'Flamestrike', 'Flamestrike', 'Elven Archer', 'Elven Archer', 'Doomsayer', 'Doomsayer', 'Violet Teacher', 'Violet Teacher', 'Scarlet Crusader', 'Scarlet Crusader', 'Gurubashi Berserker', 'Gurubashi Berserker'])"
15,334.1973776817322,293,-19.21392491467577,4.44,"([7.087549713397149, -4.585489617316927, 4.095394810014219, 13.756247317335545, -7.529340135234378, -1.7021478200494853, 13.473549070329888, 11.698764842668629, 3.0096910722552166, 5.825525237544004, -22.791375128320635, -1.729958809506063, -13.87615689458442, 2.099700275789477, -3.645598326226403, -8.417932858585425, 0.7223106315403528, 17.53332004680208, -13.119391060729999, 10.903933573631713, -8.746130206148758], ['Mana Wyrm', 'Mana Wyrm', 'Injured Blademaster', 'Injured Blademaster', 'Dark Iron Dwarf', 'Dark Iron Dwarf', 'Southsea Captain', 'Southsea Captain', 'Coldlight Seer', 'Coldlight Seer', 'Sunfury Protector', 'Sunfury Protector', 'Stranglethorn Tiger', 'Stranglethorn Tiger', 'Chillwind Yeti', 'Chillwind Yeti', 'Polymorph', 'Polymorph', 'Flamestrike', 'Flamestrike', 'Elven Archer', 'Elven Archer', 'Doomsayer', 'Doomsayer', 'Demolisher', 'Demolisher', 'Scarlet Crusader', 'Scarlet Crusader', 'Gurubashi Berserker', 'Gurubashi Berserker'])"
16,378.8315980434418,305,-18.971234972677596,5.386666666666667,"([2.8692784793865, -4.442865967843936, -4.2277531207043895, -2.009906794140246, 14.01054774274149, 0.2862105815467738, 14.678807789442038, -1.700526198469763, 16.840036133942935, 1.078021334338089, -7.243557851665076, 5.418437034726229, -4.066352437486179, 4.576590470230915, -9.419131043160519, -19.959882203077576, -22.528473780326955, 6.678140907781804, -6.093844820403319, -0.9512335232770808, -2.544796081699922], ['Stampeding Kodo', 'Stampeding Kodo', 'Flamestrike', 'Flamestrike', 'War Golem', 'War Golem', 'Big Game Hunter', 'Big Game Hunter', 'Ogre Magi', 'Ogre Magi', ""Sen'jin Shieldmasta"", ""Sen'jin Shieldmasta"", 'Raid Leader', 'Raid Leader', 'Silver Hand Knight', 'Silver Hand Knight', 'Violet Teacher', 'Violet Teacher', 'Novice Engineer', 'Novice Engineer', 'Jungle Panther', 'Jungle Panther', 'Blood Knight', 'Blood Knight', 'Acidic Swamp Ooze', 'Acidic Swamp Ooze', 'Mad Bomber', 'Mad Bomber', 'Sunwalker', 'Sunwalker'])"
17,280.04174184799194,317,-18.93261829652997,5.386666666666667,"([2.8692784793865, -4.442865967843936, -4.2277531207043895, -2.009906794140246, 14.01054774274149, 0.2862105815467738, 14.678807789442038, -1.700526198469763, 16.840036133942935, 1.078021334338089, -7.243557851665076, 5.418437034726229, -4.066352437486179, 4.576590470230915, -9.419131043160519, -19.959882203077576, -22.528473780326955, 6.678140907781804, -6.093844820403319, -0.9512335232770808, -2.544796081699922], ['Stampeding Kodo', 'Stampeding Kodo', 'Flamestrike', 'Flamestrike', 'War Golem', 'War Golem', 'Big Game Hunter', 'Big Game Hunter', 'Ogre Magi', 'Ogre Magi', ""Sen'jin Shieldmasta"", ""Sen'jin Shieldmasta"", 'Raid Leader', 'Raid Leader', 'Silver Hand Knight', 'Silver Hand Knight', 'Violet Teacher', 'Violet Teacher', 'Novice Engineer', 'Novice Engineer', 'Jungle Panther', 'Jungle Panther', 'Blood Knight', 'Blood Knight', 'Acidic Swamp Ooze', 'Acidic Swamp Ooze', 'Mad Bomber', 'Mad Bomber', 'Sunwalker', 'Sunwalker'])"
18,308.55416893959045,325,-18.898133333333334,5.386666666666667,"([2.8692784793865, -4.442865967843936, -4.2277531207043895, -2.009906794140246, 14.01054774274149, 0.2862105815467738, 14.678807789442038, -1.700526198469763, 16.840036133942935, 1.078021334338089, -7.243557851665076, 5.418437034726229, -4.066352437486179, 4.576590470230915, -9.419131043160519, -19.959882203077576, -22.528473780326955, 6.678140907781804, -6.093844820403319, -0.9512335232770808, -2.544796081699922], ['Stampeding Kodo', 'Stampeding Kodo', 'Flamestrike', 'Flamestrike', 'Elven Archer', 'Elven Archer', 'Big Game Hunter', 'Big Game Hunter', 'Ogre Magi', 'Ogre Magi', ""Sen'jin Shieldmasta"", ""Sen'jin Shieldmasta"", 'Abomination', 'Abomination', 'Silver Hand Knight', 'Silver Hand Knight', 'Doomsayer', 'Doomsayer', 'Novice Engineer', 'Novice Engineer', 'Jungle Panther', 'Jungle Panther', 'Blood Knight', 'Blood Knight', 'Shieldbearer', 'Shieldbearer', 'Windfury Harpy', 'Windfury Harpy', 'Sunwalker', 'Sunwalker'])"
19,240.7924885749817,335,-18.48302487562189,11.026666666666667,"([2.9610098406702816, -4.977383006845658, -4.277504026842135, -1.9233737876903252, 15.7792042988619, 2.116747276211446, 13.549456835750934, -3.5547704029365637, 19.932789005731543, -2.051935976899048, -6.706417635290424, 6.457606774456095, -3.9912177829710735, 5.021006235074844, -9.939208213372751, -18.551106379352614, -21.0472283272892, 4.969738963771646, -4.561165061030648, -2.273612022680414, -3.7148794024460265], ['Stampeding Kodo', 'Stampeding Kodo', 'Flamestrike', 'Flamestrike', 'Razorfen Hunter', 'Razorfen Hunter', 'Big Game Hunter', 'Big Game Hunter', 'Ogre Magi', 'Ogre Magi', ""Sen'jin Shieldmasta"", ""Sen'jin Shieldmasta"", 'Abomination', 'Abomination', 'Fen Creeper', 'Fen Creeper', 'Booty Bay Bodyguard', 'Booty Bay Bodyguard', 'Novice Engineer', 'Novice Engineer', 'Mana Wyrm', 'Mana Wyrm', 'Blood Knight', 'Blood Knight', 'Shieldbearer', 'Shieldbearer', 'Windfury Harpy', 'Windfury Harpy', 'Sunwalker', 'Sunwalker'])"
