generation,time_elapsed,population,mean_fitness,best_fitness,best_sample
10,400.18816089630127,399,-20.65236006683375,11.333333333333334,"([-1.8985764251025046, -2.6407827871765317, -6.452267429071538, -3.9284674000862836, 1.76218005637514, 7.705449240362821, 5.0090518632132675, -1.5768082694185281, -6.820305243493721, -6.037948360942367, -2.0659975102137444, 7.083362629710383, 6.781504810047416, 1.7349258802826721, 2.115936552192508, -2.3085785693663734, -2.0434637673722804, -3.813941398625868, 1.519442631336986, -9.826602596009282, -8.860126955671479], ['Bloodsail Raider', 'Bloodsail Raider', 'Lightwarden', 'Lightwarden', 'Flamestrike', 'Flamestrike', 'Lightwarden', 'Lightwarden', 'Stormpike Commando', 'Stormpike Commando', 'Hungry Crab', 'Hungry Crab', 'Lightwarden', 'Lightwarden', 'Arcane Explosion', 'Arcane Explosion', 'Injured Blademaster', 'Injured Blademaster', 'Emperor Cobra', 'Emperor Cobra', 'Razorfen Hunter', 'Razorfen Hunter', 'Dragonling Mechanic', 'Dragonling Mechanic', 'Defender of Argus', 'Defender of Argus', 'Southsea Captain', 'Southsea Captain', 'Mad Bomber', 'Mad Bomber'])"
11,381.64111399650574,428,-20.353193146417446,11.333333333333334,"([-1.8985764251025046, -2.6407827871765317, -6.452267429071538, -3.9284674000862836, 1.76218005637514, 7.705449240362821, 5.0090518632132675, -1.5768082694185281, -6.820305243493721, -6.037948360942367, -2.0659975102137444, 7.083362629710383, 6.781504810047416, 1.7349258802826721, 2.115936552192508, -2.3085785693663734, -2.0434637673722804, -3.813941398625868, 1.519442631336986, -9.826602596009282, -8.860126955671479], ['Bloodsail Raider', 'Bloodsail Raider', 'Lightwarden', 'Lightwarden', 'Flamestrike', 'Flamestrike', 'Lightwarden', 'Lightwarden', 'Wolfrider', 'Wolfrider', 'Hungry Crab', 'Hungry Crab', 'Lightwarden', 'Lightwarden', 'Arcane Explosion', 'Arcane Explosion', 'Injured Blademaster', 'Injured Blademaster', 'Emperor Cobra', 'Emperor Cobra', 'Razorfen Hunter', 'Razorfen Hunter', 'Dragonling Mechanic', 'Dragonling Mechanic', 'Defender of Argus', 'Defender of Argus', 'Southsea Captain', 'Southsea Captain', 'Mad Bomber', 'Mad Bomber'])"
12,305.2636957168579,446,-20.20160687593423,11.333333333333334,"([-1.8985764251025046, -2.6407827871765317, -6.452267429071538, -3.9284674000862836, 1.76218005637514, 7.705449240362821, 5.0090518632132675, -1.5768082694185281, -6.820305243493721, -6.037948360942367, -2.0659975102137444, 7.083362629710383, 6.781504810047416, 1.7349258802826721, 2.115936552192508, -2.3085785693663734, -2.0434637673722804, -3.813941398625868, 1.519442631336986, -9.826602596009282, -8.860126955671479], ['Bloodsail Raider', 'Bloodsail Raider', 'Lightwarden', 'Lightwarden', 'Flamestrike', 'Flamestrike', 'Lightwarden', 'Lightwarden', 'Wolfrider', 'Wolfrider', 'Hungry Crab', 'Hungry Crab', 'Lightwarden', 'Lightwarden', 'Arcane Explosion', 'Arcane Explosion', 'Injured Blademaster', 'Injured Blademaster', 'Emperor Cobra', 'Emperor Cobra', 'Razorfen Hunter', 'Razorfen Hunter', 'Dragonling Mechanic', 'Dragonling Mechanic', 'Defender of Argus', 'Defender of Argus', 'Faerie Dragon', 'Faerie Dragon', 'Mad Bomber', 'Mad Bomber'])"
13,263.607275724411,463,-20.077933765298777,11.333333333333334,"([-1.8985764251025046, -2.6407827871765317, -6.452267429071538, -3.9284674000862836, 1.76218005637514, 7.705449240362821, 5.0090518632132675, -1.5768082694185281, -6.820305243493721, -6.037948360942367, -2.0659975102137444, 7.083362629710383, 6.781504810047416, 1.7349258802826721, 2.115936552192508, -2.3085785693663734, -2.0434637673722804, -3.813941398625868, 1.519442631336986, -9.826602596009282, -8.860126955671479], ['Vaporize', 'Vaporize', 'Lightwarden', 'Lightwarden', 'Flamestrike', 'Flamestrike', 'Lightwarden', 'Lightwarden', 'Faceless Manipulator', 'Faceless Manipulator', 'Hungry Crab', 'Hungry Crab', 'Amani Berserker', 'Amani Berserker', 'Arcane Explosion', 'Arcane Explosion', 'Injured Blademaster', 'Injured Blademaster', 'Silvermoon Guardian', 'Silvermoon Guardian', 'Razorfen Hunter', 'Razorfen Hunter', 'Dragonling Mechanic', 'Dragonling Mechanic', 'Defender of Argus', 'Defender of Argus', 'Faerie Dragon', 'Faerie Dragon', 'Mad Bomber', 'Mad Bomber'])"
14,410.3373076915741,483,-19.821514837819187,11.333333333333334,"([-1.8985764251025046, -2.6407827871765317, -6.452267429071538, -3.9284674000862836, 1.76218005637514, 7.705449240362821, 5.0090518632132675, -1.5768082694185281, -6.820305243493721, -6.037948360942367, -2.0659975102137444, 7.083362629710383, 6.781504810047416, 1.7349258802826721, 2.115936552192508, -2.3085785693663734, -2.0434637673722804, -3.813941398625868, 1.519442631336986, -9.826602596009282, -8.860126955671479], ['Vaporize', 'Vaporize', 'Lightwarden', 'Lightwarden', 'Flamestrike', 'Flamestrike', 'Bloodsail Corsair', 'Bloodsail Corsair', 'Faceless Manipulator', 'Faceless Manipulator', 'Lord of the Arena', 'Lord of the Arena', 'Amani Berserker', 'Amani Berserker', 'Arcane Explosion', 'Arcane Explosion', 'Injured Blademaster', 'Injured Blademaster', 'Silvermoon Guardian', 'Silvermoon Guardian', 'Dark Iron Dwarf', 'Dark Iron Dwarf', 'Dragonling Mechanic', 'Dragonling Mechanic', 'Defender of Argus', 'Defender of Argus', 'Faerie Dragon', 'Faerie Dragon', 'Mad Bomber', 'Mad Bomber'])"
15,497.3521614074707,501,-19.77960745176314,11.333333333333334,"([-1.8985764251025046, -2.6407827871765317, -6.452267429071538, -3.9284674000862836, 1.76218005637514, 7.705449240362821, 5.0090518632132675, -1.5768082694185281, -6.820305243493721, -6.037948360942367, -2.0659975102137444, 7.083362629710383, 6.781504810047416, 1.7349258802826721, 2.115936552192508, -2.3085785693663734, -2.0434637673722804, -3.813941398625868, 1.519442631336986, -9.826602596009282, -8.860126955671479], ['Vaporize', 'Vaporize', 'Lightwarden', 'Lightwarden', 'Flamestrike', 'Flamestrike', 'Lord of the Arena', 'Lord of the Arena', 'Faceless Manipulator', 'Faceless Manipulator', 'Lord of the Arena', 'Lord of the Arena', 'Gurubashi Berserker', 'Gurubashi Berserker', 'Silver Hand Knight', 'Silver Hand Knight', 'Injured Blademaster', 'Injured Blademaster', 'Silvermoon Guardian', 'Silvermoon Guardian', 'Dark Iron Dwarf', 'Dark Iron Dwarf', 'Dragonling Mechanic', 'Dragonling Mechanic', 'Defender of Argus', 'Defender of Argus', 'Faerie Dragon', 'Faerie Dragon', 'Nightblade', 'Nightblade'])"
16,293.61792635917664,512,-19.507080078125,11.333333333333334,"([-1.8985764251025046, -2.6407827871765317, -6.452267429071538, -3.9284674000862836, 1.76218005637514, 7.705449240362821, 5.0090518632132675, -1.5768082694185281, -6.820305243493721, -6.037948360942367, -2.0659975102137444, 7.083362629710383, 6.781504810047416, 1.7349258802826721, 2.115936552192508, -2.3085785693663734, -2.0434637673722804, -3.813941398625868, 1.519442631336986, -9.826602596009282, -8.860126955671479], ['Vaporize', 'Vaporize', 'Lightwarden', 'Lightwarden', 'Flamestrike', 'Flamestrike', 'Lord of the Arena', 'Lord of the Arena', 'Faceless Manipulator', 'Faceless Manipulator', 'Lord of the Arena', 'Lord of the Arena', 'Gurubashi Berserker', 'Gurubashi Berserker', 'Silver Hand Knight', 'Silver Hand Knight', 'Injured Blademaster', 'Injured Blademaster', 'Silvermoon Guardian', 'Silvermoon Guardian', 'Dark Iron Dwarf', 'Dark Iron Dwarf', 'Dragonling Mechanic', 'Dragonling Mechanic', 'Defender of Argus', 'Defender of Argus', 'Faerie Dragon', 'Faerie Dragon', 'Nightblade', 'Nightblade'])"
17,233.3256220817566,530,-19.443867924528302,14.75,"([-6.1773161935342, 3.663711493525966, -9.694795026511136, -4.53327219655506, 8.264390020774101, -7.7308882045518645, 9.897521377761226, 4.458626124692264, -5.495173723090061, -4.268390370252657, -8.418063912832526, 0.9312955490413373, 7.587202358896683, -7.8189332176885795, 3.8155104802651714, -2.9102987085387655, 1.211201992278351, 8.301457042931247, 2.443681710452484, 9.625979517358875, 5.881541593770272], ['Ancient Brewmaster', 'Ancient Brewmaster', ""Sorcerer's Apprentice"", ""Sorcerer's Apprentice"", 'Argent Squire', 'Argent Squire', 'Mad Bomber', 'Mad Bomber', 'Lord of the Arena', 'Lord of the Arena', 'Nightblade', 'Nightblade', 'Earthen Ring Farseer', 'Earthen Ring Farseer', 'Water Elemental', 'Water Elemental', 'Pyroblast', 'Pyroblast', 'Hungry Crab', 'Hungry Crab', 'Bloodsail Corsair', 'Bloodsail Corsair', 'Silverback Patriarch', 'Silverback Patriarch', 'Murloc Raider', 'Murloc Raider', 'Wolfrider', 'Wolfrider', 'Boulderfist Ogre', 'Boulderfist Ogre'])"
18,236.5507960319519,547,-19.4448507007922,14.75,"([-6.1773161935342, 3.663711493525966, -9.694795026511136, -4.53327219655506, 8.264390020774101, -7.7308882045518645, 9.897521377761226, 4.458626124692264, -5.495173723090061, -4.268390370252657, -8.418063912832526, 0.9312955490413373, 7.587202358896683, -7.8189332176885795, 3.8155104802651714, -2.9102987085387655, 1.211201992278351, 8.301457042931247, 2.443681710452484, 9.625979517358875, 5.881541593770272], ['Ancient Brewmaster', 'Ancient Brewmaster', ""Sorcerer's Apprentice"", ""Sorcerer's Apprentice"", 'War Golem', 'War Golem', 'Ice Barrier', 'Ice Barrier', 'Youthful Brewmaster', 'Youthful Brewmaster', 'Nightblade', 'Nightblade', 'Earthen Ring Farseer', 'Earthen Ring Farseer', 'Water Elemental', 'Water Elemental', 'Pyroblast', 'Pyroblast', 'Faceless Manipulator', 'Faceless Manipulator', 'Amani Berserker', 'Amani Berserker', 'Silverback Patriarch', 'Silverback Patriarch', 'Murloc Raider', 'Murloc Raider', 'Cone of Cold', 'Cone of Cold', 'Boulderfist Ogre', 'Boulderfist Ogre'])"
19,312.5640666484833,562,-19.50696915776987,14.75,"([-6.1773161935342, 3.663711493525966, -9.694795026511136, -4.53327219655506, 8.264390020774101, -7.7308882045518645, 9.897521377761226, 4.458626124692264, -5.495173723090061, -4.268390370252657, -8.418063912832526, 0.9312955490413373, 7.587202358896683, -7.8189332176885795, 3.8155104802651714, -2.9102987085387655, 1.211201992278351, 8.301457042931247, 2.443681710452484, 9.625979517358875, 5.881541593770272], ['Ancient Brewmaster', 'Ancient Brewmaster', 'Water Elemental', 'Water Elemental', 'War Golem', 'War Golem', 'Ice Barrier', 'Ice Barrier', 'Youthful Brewmaster', 'Youthful Brewmaster', 'Nightblade', 'Nightblade', 'Earthen Ring Farseer', 'Earthen Ring Farseer', 'Water Elemental', 'Water Elemental', 'Pyroblast', 'Pyroblast', 'Faceless Manipulator', 'Faceless Manipulator', 'Amani Berserker', 'Amani Berserker', 'Silverback Patriarch', 'Silverback Patriarch', 'Murloc Raider', 'Murloc Raider', 'Mad Bomber', 'Mad Bomber', 'Boulderfist Ogre', 'Boulderfist Ogre'])"
